"alg" "AUC" "TSS" "Kappa" "Sens" "Spec" "PCC" "D2" "thresh"
"bc" 0.794806985294118 0.610294117647059 0.431729518855657 0.75 0.860294117647059 0.848684210526316 -0.458322831749128 0.26
"dom" 0.782169117647059 0.544117647058823 0.327433628318584 0.75 0.794117647058823 0.789473684210526 -1.08568371209391 0.68
"glm" 0.933363970588235 0.735294117647059 0.500625782227785 0.875 0.860294117647059 0.861842105263158 0.460712515281027 0.12
"gamS" 0.9375 0.775735294117647 0.491268917345751 0.9375 0.838235294117647 0.848684210526316 0.45860947178078 0.1
"cart" 0.824448529411765 0.632352941176471 0.475138121546962 0.75 0.882352941176471 0.868421052631579 0.254605649257165 0.32
"rf" 0.906709558823529 0.720588235294118 0.47285886610374 0.875 0.845588235294118 0.848684210526316 0.223655195230356 0.12
"brt" 0.935661764705882 0.742647058823529 0.377923292797007 1 0.742647058823529 0.769736842105263 0.395043118791961 0.02
"maxent" 0.938419117647059 0.761029411764706 0.465691788526434 0.9375 0.823529411764706 0.835526315789474 0.316007669490231 0.265
